"Cement..component.1..kg.in.a.m.3.mixture.","Blast.Furnace.Slag..component.2..kg.in.a.m.3.mixture.","Fly.Ash..component.3..kg.in.a.m.3.mixture.","Water...component.4..kg.in.a.m.3.mixture.","Superplasticizer..component.5..kg.in.a.m.3.mixture.","Coarse.Aggregate...component.6..kg.in.a.m.3.mixture.","Fine.Aggregate..component.7..kg.in.a.m.3.mixture.","Age..day.","Concrete.compressive.strength.MPa..megapascals.."
164.2,0,200.1,181.2,12.6,849.3,846,28,15.09
288,192,0,192,0,932,717.8,28,38.8
401.8,94.7,0,147.4,11.4,946.8,852.1,28,68.5
135,105,193,196,6,965,643,28,21.91
251.4,0,118.3,192.9,5.8,1043.6,754.3,100,40.15
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,100,48.15
231.8,0,121.6,174,6.7,1056.4,778.5,3,15.44
313.3,145,0,178.5,8,1001.9,688.7,28,41.05
222.4,0,96.7,189.3,4.5,967.1,870.3,28,24.89
277.1,0,97.4,160.6,11.8,973.9,875.6,28,48.28
143.6,0,174.9,158.4,17.9,942.7,844.5,28,15.42
170.3,155.5,0,185.7,0,1026.6,724.3,7,10.73
251.4,0,118.3,188.5,5.8,1028.4,757.7,28,29.65
237,92,71,247,6,853,695,28,28.63
148.1,0,136.6,158.1,16.1,1001.8,830.1,28,17.96
387,20,94,157,11.6,938,845,7,41.67
246.8,0,125.1,143.3,12,1086.8,800.9,3,23.52
382,0,0,186,0,1111,784,7,11.47
310,143,0,168,10,914,804,28,45.3
238.1,0,0,185.7,0,1118.8,789.3,7,10.34
310,0,0,192,0,1012,830,90,35.76
237.5,237.5,0,228,0,932,594,28,30.08
318.8,212.5,0,155.7,14.3,852.1,880.4,7,33.4
331,0,0,192,0,1025,821,28,31.74
296,0,107,221,11,819,778,28,31.42
446,24,79,162,10.3,967,712,56,54.77
166.8,250.2,0,203.5,0,975.6,692.6,7,15.75
252,0,0,185,0,1111,784,28,19.69
260.9,100.5,78.3,200.6,8.6,864.5,761.5,28,32.4
315,137,0,145,5.9,1130,745,28,81.75
339,0,0,197,0,968,781,14,27.04
145.9,230.5,0,202.5,3.4,827,871.8,28,32.72
148.1,0,182.1,181.4,15,838.9,884.3,28,15.53
252,0,0,185,0,1111,784,7,13.71
160,188,146,203,11,829,710,28,32.84
159,209,161,201,7,848,669,28,30.88
252.3,0,98.8,146.3,14.2,987.8,889,14,42.29
355.9,0,141.6,193.3,11,801.4,778.4,28,40.87
239.6,359.4,0,185.7,0,941.6,664.3,7,25.42
178,129.8,118.6,179.9,3.6,1007.3,746.8,14,34.24
286.3,200.9,0,144.7,11.2,1004.6,803.7,7,38
356,119,0,160,9,1061,657,28,59
162,207,172,216,10,822,638,28,39.84
436,0,0,218,0,838.4,719.7,28,23.85
491,26,123,201,3.9,822,699,7,37.92
181.9,272.8,0,185.7,0,1012.4,714.3,28,27.94
153,145,0,178,8,1000,822,28,19.01
297.2,0,117.5,174.8,9.5,1022.8,753.5,56,51.96
181.9,272.8,0,185.7,0,1012.4,714.3,7,12.37
375,93.8,0,126.6,23.4,852.1,992.6,28,56.7
237.5,237.5,0,228,0,932,594,180,36.25
133,200,0,192,0,927.4,839.2,90,36.59
393,0,0,192,0,940.6,785.6,28,39.6
376,0,0,214.6,0,1003.5,762.4,3,16.28
238.1,0,94.1,186.7,7,949.9,847,56,39.59
194.7,0,100.5,165.6,7.5,1006.4,905.9,56,33.96
376,0,0,214.6,0,1003.5,762.4,56,36.3
475,0,0,228,0,932,594,90,42.23
178,129.8,118.6,179.9,3.6,1007.3,746.8,28,39.16
252,0,0,185,0,1111,784,28,19.69
500.1,0,0,200,3,1124.4,613.2,28,44.13
251.4,0,118.3,188.5,6.4,1028.4,757.7,3,13.12
236,157,0,192,0,972.6,749.1,7,20.42
359,19,141,154,10.9,942,801,3,25.12
250,0,0,182,0,1100,820,7,12.73
427.5,47.5,0,228,0,932,594,90,41.54
475,0,0,162,9.5,1044,662,28,58.52
139.6,209.4,0,192,0,1047,806.9,28,28.24
141.3,212,0,203.5,0,971.8,748.5,3,4.83
480,0,0,192,0,936,721,28,43.89
233.8,0,94.6,197.9,4.6,947,852.2,56,27.66
218.9,0,124.1,158.5,11.3,1078.7,794.9,14,26.05
355,19,97,145,12.3,967,871,28,55.45
425,106.3,0,153.5,16.5,852.1,887.1,7,49.2
303.6,139.9,0,213.5,6.2,895.5,722.5,28,33.42
385,0,0,186,0,966,763,14,27.92
387,20,94,157,14.3,938,845,7,36.84
374,0,0,190,7,1013,730,28,39.05
277,0,0,191,0,968,856,180,32.33
277,0,0,191,0,968,856,90,31.25
151,0,184,167,12,991,772,28,15.57
167,75.4,167,164,7.9,1007.3,770.1,100,56.81
359,19,141,154,10.9,942,801,28,59.49
382,0,0,185,0,1047,739,28,37.42
164.6,0,150.4,181.6,11.7,1023.3,728.9,28,18.03
362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
213.7,0,174.7,154.8,10.2,1053.5,776.4,3,17.57
349,0,0,192,0,1047,806,90,39.49
362.6,189,0,164.9,11.6,944.7,755.8,7,55.9
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
149,139,109,193,6,892,780,28,23.69
427.5,47.5,0,228,0,932,594,28,37.43
313.3,262.2,0,175.5,8.6,1046.9,611.8,56,64.9
250,0,95.7,187.4,5.5,956.9,861.2,28,29.22
148,175,0,171,2,1000,828,28,26.92
349,0,0,192,0,1056,809,7,9.01
162,190.1,148.1,178.8,18.8,838.1,741.4,28,33.76
254,0,0,198,0,968,863,180,27.63
290.4,0,96.2,168.1,9.4,961.2,865,100,48.97
289,0,0,192,0,913.2,895.3,7,14.6
193.5,290.2,0,185.7,0,998.2,704.3,28,32.63
116,173,0,192,0,909.8,891.9,90,31.02
181.4,0,167,169.6,7.6,1055.6,777.8,28,27.77
277,0,0,191,0,968,856,3,11.36
475,118.8,0,181.1,8.9,852.1,781.5,56,72.3
252.3,0,98.8,146.3,14.2,987.8,889,100,60.95
387,20,94,157,13.9,938,845,28,46.68
287,121,94,188,9,904,696,28,41.94
156,243,0,180,11,1022,698,28,37.36
225,0,0,181,0,1113,833,7,11.17
355,19,97,145,13.1,967,871,28,44.03
132,207,161,179,5,867,736,28,33.3
525,0,0,189,0,1125,613,3,33.8
254,0,0,198,0,968,863,90,26.94
238.1,0,0,185.7,0,1118.8,789.3,28,17.58
387,20,94,157,13.9,938,845,3,25.51
349,0,0,192,0,1056,809,120,40.86
531.3,0,0,141.8,28.2,852.1,893.7,7,46.9
251.8,0,99.9,146.1,12.4,1006,899.8,14,33.36
332.5,142.5,0,228,0,932,594,180,39.78
184,86,190,213,6,923,623,28,22.93
182,45.2,122,170.2,8.2,1059.4,780.7,3,7.32
166.8,250.2,0,203.5,0,975.6,692.6,3,6.9
148.5,139.4,108.6,192.7,6.1,892.4,780,28,23.7
310,0,0,192,0,970,850,7,14.99
251.4,0,118.3,188.5,6.4,1028.4,757.7,28,32.66
425,106.3,0,151.4,18.6,936,803.7,56,64.9
250,0,95.7,191.8,5.3,948.9,857.2,28,27.22
181.4,0,167,169.6,7.6,1055.6,777.8,3,13.62
173,116,0,192,0,946.8,856.8,28,24.28
380,95,0,228,0,932,594,180,40.76
491,26,123,201,3.9,822,699,28,57.92
141.3,212,0,203.5,0,971.8,748.5,90,39.66
424,22,132,178,8.5,822,750,7,39
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,3,7.4
393,0,0,192,0,940.6,785.6,90,48.85
212,141.3,0,203.5,0,973.4,750,90,39.7
230,0,118.3,195.5,4.6,1029.4,758.6,100,35.34
149.5,236,0,175.8,12.6,846.8,892.7,28,32.96
238,0,0,186,0,1119,789,7,12.05
275.1,0,121.4,159.5,9.9,1053.6,777.5,100,58.61
213.7,0,174.7,154.8,10.2,1053.5,776.4,14,33.73
236,157,0,192,0,972.6,749.1,3,13.57
237.5,237.5,0,228,0,932,594,365,39
540,0,0,162,2.5,1040,676,28,79.99
154.8,183.4,0,193.3,9.1,1047.4,696.7,28,18.29
339.2,0,0,185.7,0,1069.2,754.3,28,31.9
261.9,110.5,86.1,195.4,5,895.2,732.6,28,33.72
525,0,0,189,0,1125,613,180,61.92
200,0,0,180,0,1125,845,7,7.84
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,56,50.77
182,45.2,122,170.2,8.2,1059.4,780.7,56,43.5
220.8,147.2,0,185.7,0,1055,744.3,7,13.09
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,100,56.63
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,56,53.77
379.5,151.2,0,153.9,15.9,1134.3,605,3,28.6
446,24,79,162,11.6,967,712,56,56.14
252.3,0,98.8,146.3,14.2,987.8,889,28,50.6
307,0,0,193,0,968,812,180,34.49
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,3,30.45
525,0,0,189,0,1125,613,28,55.94
310,0,0,192,0,970,850,28,27.92
237.5,237.5,0,228,0,932,594,7,26.26
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,14,35.96
148,0,182,181,15,839,884,28,15.52
229.7,0,118.2,195.2,6.1,1028.1,757.6,28,24.54
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,28,37.81
350,0,0,203,0,974,775,7,18.13
525,0,0,189,0,1125,613,7,42.42
525,0,0,189,0,1125,613,14,48.4
238.1,0,94.1,186.7,7,949.9,847,28,30.23
500,0,0,200,0,1125,613,28,44.09
190.3,0,125.2,161.9,9.9,1088.1,802.6,100,40.39
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
146.5,114.6,89.3,201.9,8.8,860,829.5,28,19.99
272.8,105.1,81.8,209.7,9,904,679.7,28,37.17
376,0,0,214.6,0,1003.5,762.4,28,31.97
165,128.5,132.1,175.1,8.1,1005.8,746.6,3,19.42
144,136,106,178,7,941,774,28,26.14
158.8,238.2,0,185.7,0,1040.6,734.3,28,21.07
190.3,0,125.2,166.6,9.9,1079,798.9,100,33.56
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,14,47.71
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
156,178,187,221,7,854,614,28,29.41
266,114,0,228,0,932,670,180,48.7
276,116,90,180,9,870,768,28,44.28
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,100,66.95
155.6,243.5,0,180.3,10.7,1022,697.7,28,37.36
425,106.3,0,153.5,16.5,852.1,887.1,28,60.29
469,117.2,0,137.8,32.2,852.1,840.5,3,40.2
190.3,0,125.2,161.9,9.9,1088.1,802.6,56,38.56
236,0,0,193,0,968,885,180,24.1
233.8,0,94.6,197.9,4.6,947,852.2,100,34.56
380,95,0,228,0,932,594,90,40.56
231.8,0,121.6,174,6.7,1056.4,778.5,56,42.7
194.7,0,100.5,170.2,7.5,998,901.8,3,12.18
255,0,0,192,0,889.8,945,90,21.86
251.4,0,118.3,192.9,5.8,1043.6,754.3,3,11.98
133,200,0,192,0,927.4,839.2,7,13.66
285,190,0,163,7.6,1031,685,28,53.58
500,0,0,200,0,1125,613,7,33.21
381.4,0,0,185.7,0,1104.6,784.3,7,14.54
380,0,0,228,0,932,670,90,52.91
289,133.7,0,194.9,5.5,924.1,760.1,28,46.25
339,0,0,185,0,1069,754,7,21.16
314,0,113,170,10,925,783,28,38.46
339,0,0,197,0,968,781,180,36.45
275,0,0,183,0,1088,808,7,14.2
133,200,0,192,0,927.4,839.2,28,27.87
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
122.6,183.9,0,203.5,0,958.2,800.1,7,10.35
491,26,123,210,3.9,882,699,28,55.55
350,0,0,203,0,974,775,56,29.98
154.8,183.4,0,193.3,9.1,877.2,867.7,28,23.79
168,42.1,163.8,121.8,5.7,1058.7,780.1,100,39.23
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,14,31.81
165,128.5,132.1,175.1,8.1,1005.8,746.6,14,33.09
374,189.2,0,170.1,10.1,926.1,756.7,56,63.4
531.3,0,0,141.8,28.2,852.1,893.7,28,56.4
154.8,0,142.8,193.3,9.1,1047.4,696.7,28,12.46
424,22,132,178,8.5,822,750,28,62.05
152,0,112,184,8,992,816,28,12.18
522,0,0,146,0,896,896,7,50.51
231.8,0,121.6,174,6.7,1056.4,778.5,14,26.77
280,129,100,172,9,825,805,28,52.82
339.2,0,0,185.7,0,1069.2,754.3,7,21.18
424,22,132,178,8.5,822,750,56,65.7
155,183,0,193,9,1047,697,28,18.28
491,26,123,210,3.9,882,699,56,59.59
194.7,0,100.5,170.2,7.5,998,901.8,56,43.39
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,56,66.82
331,0,0,192,0,879,825,3,13.52
310,0,0,192,0,1012,830,28,27.83
425,106.3,0,153.5,16.5,852.1,887.1,28,60.29
350,0,0,186,0,1050,770,28,34.29
342,38,0,228,0,932,670,90,50.46
333,0,0,192,0,931.2,842.6,7,23.4
277.1,0,97.4,160.6,11.8,973.9,875.6,3,23.14
167,75.4,167,164,7.9,1007.3,770.1,3,15.52
155,184,143,194,9,880,699,28,28.99
266,112,87,178,10,910,745,28,39.42
277.1,0,97.4,160.6,11.8,973.9,875.6,100,55.64
500,0,0,200,0,1125,613,180,51.04
190.3,0,125.2,166.6,9.9,1079,798.9,28,24.85
374,189.2,0,170.1,10.1,926.1,756.7,28,61.09
349,0,0,192,0,1047,806,7,18.13
194.7,0,100.5,170.2,7.5,998,901.8,100,44.28
162,214,164,202,10,820,680,28,30.65
397,0,0,185.7,0,1040.6,734.3,28,33.08
275.1,0,121.4,159.5,9.9,1053.6,777.5,14,38.77
385,0,0,186,0,966,763,7,23.22
213.7,0,174.7,154.8,10.2,1053.5,776.4,100,50.08
313.3,262.2,0,175.5,8.6,1046.9,611.8,3,28.8
149,236,0,176,13,847,893,28,32.96
446,24,79,162,11.6,967,712,28,51.02
475,118.8,0,181.1,8.9,852.1,781.5,91,74.19
336,0,0,182,3,986,817,28,44.86
310,0,0,192,0,970,850,180,37.33
250,0,95.7,191.8,5.3,948.9,857.2,56,39.64
252,0,0,186,0,1111,784,7,11.47
252,97,76,194,8,835,821,28,33.4
307,0,0,193,0,968,812,28,27.53
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,100,53.9
446,24,79,162,11.6,967,712,56,55.25
147.8,175.1,0,171.2,2.2,1000,828.5,28,26.92
425,106.3,0,153.5,16.5,852.1,887.1,3,33.4
480,0,0,192,0,936.2,712.2,7,34.57
158.8,238.2,0,185.7,0,1040.6,734.3,7,9.62
304,76,0,228,0,932,670,28,47.81
331,0,0,192,0,978,825,28,31.45
182,45.2,122,170.2,8.2,1059.4,780.7,100,48.67
266,114,0,228,0,932,670,270,51.73
266.2,112.3,87.5,177.9,10.4,909.7,744.5,28,39.42
350,0,0,186,0,1050,770,7,20.28
190,190,0,228,0,932,670,365,53.69
475,0,59,142,1.9,1098,641,28,57.23
287.3,120.5,93.9,187.6,9.2,904.4,695.9,28,43.8
322.5,148.6,0,185.8,8.5,951,709.5,28,52.43
183.9,122.6,0,203.5,0,959.2,800,7,10.79
261,100,78,201,9,864,761,28,32.4
250.2,166.8,0,203.5,0,977.6,694.1,7,19.35
304,76,0,228,0,932,670,365,55.26
289,0,0,192,0,913.2,895.3,28,25.57
480,0,0,192,0,936,721,90,54.28
342,38,0,228,0,932,670,180,52.12
350,0,0,203,0,974,775,14,22.53
388.6,97.1,0,157.9,12.1,852.1,925.7,56,55.2
500,0,0,200,0,1125,613,90,47.22
228,342.1,0,185.7,0,955.8,674.3,28,39.7
251.4,0,118.3,188.5,6.4,1028.4,757.7,100,44.21
246.8,0,125.1,143.3,12,1086.8,800.9,100,66.42
273,105,82,210,9,904,680,28,37.17
212,0,124.8,159,7.8,1085.4,799.5,56,45.08
337.9,189,0,174.9,9.5,944.7,755.8,3,24.1
238,0,0,185,0,1118,789,28,17.54
290.4,0,96.2,168.1,9.4,961.2,865,3,22.5
157,236,0,192,0,935.4,781.2,3,9.69
159,149,116,175,15,953,720,28,27.68
155,183,0,193,9,877,868,28,23.79
229.7,0,118.2,195.2,6.1,1028.1,757.6,14,22.32
198.6,132.4,0,192,0,978.4,825.5,180,41.72
540,0,0,173,0,1125,613,270,74.17
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,28,33.69
331,0,0,192,0,978,825,7,16.26
313,0,113,178,8,1002,689,28,36.8
190.3,0,125.2,161.9,9.9,1088.1,802.6,28,28.47
323.7,282.8,0,183.8,10.3,942.7,659.9,7,49.8
382,0,0,185,0,1047,739,7,24
159.8,250,0,168.4,12.2,1049.3,688.2,28,39.46
212.1,0,121.6,180.3,5.7,1057.6,779.3,100,39.61
275.1,0,121.4,159.5,9.9,1053.6,777.5,56,56.85
236,0,0,194,0,968,885,90,21.95
210.7,316.1,0,185.7,0,977,689.3,28,37.81
155,0,143,193,9,877,868,28,9.74
203.5,135.7,0,185.7,0,1076.2,759.3,7,11.96
250.2,166.8,0,203.5,0,977.6,694.1,28,36.96
165,128.5,132.1,175.1,8.1,1005.8,746.6,28,46.39
190.7,0,125.4,162.1,7.8,1090,804,14,21.06
213.5,0,174.2,154.6,11.7,1052.3,775.5,100,59.3
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,28,63.14
295,0,0,185,0,1069,769,7,14.8
522,0,0,146,0,896,896,28,74.99
424,22,132,168,8.9,822,750,7,40.29
337.9,189,0,174.9,9.5,944.7,755.8,7,35.1
250,0,0,182,0,1100,820,28,20.87
151.8,178.1,138.7,167.5,18.3,944,694.6,28,36.35
313,145,0,178,8,867,824,28,44.39
310,0,0,192,0,1012,830,7,17.24
192,288,0,192,0,929.8,716.1,28,39.32
167,75.4,167,164,7.9,1007.3,770.1,28,41.41
194.7,0,100.5,165.6,7.5,1006.4,905.9,28,25.72
166.1,0,163.3,176.5,4.5,1058.6,780.1,3,10.76
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,100,53.66
166,259.7,0,183.2,12.7,858.8,826.8,28,37.92
213.8,98.1,24.5,181.7,6.7,1066,785.5,3,13.18
424,22,132,168,8.9,822,750,3,32.11
281,0,0,186,0,1104,774,28,22.44
425,106.3,0,153.5,16.5,852.1,887.1,91,65.2
