"Iy","PF","e","dIf","If"
5.7,0.97,0.03,248,1.428
3.9,0.74,0.26,418,1.598
4.1,0.76,0.24,418,1.598
3.3,0.96,0.04,98,1.278
3.4,0.66,0.34,385,1.565
4.2,0.94,0.06,153,1.333
4.9,0.75,0.25,559,1.739
3.2,0.92,0.08,102,1.282
4.7,0.97,0.03,185,1.365
4.6,0.7,0.3,644,1.824
3.6,0.66,0.34,457,1.637
3.9,0.98,0.02,97,1.277
4.2,0.96,0.04,162,1.342
5.3,0.91,0.09,176,1.356
4.4,0.72,0.28,462,1.642
3.8,0.9,0.1,222,1.402
4.9,0.79,0.21,462,1.642
4.8,0.79,0.21,476,1.656
5.6,0.67,0.33,729,1.909
5,0.69,0.31,601,1.781
3.7,0.76,0.24,353,1.533
3.3,0.98,0.02,98,1.278
4.3,0.82,0.18,0.34,1.52
3.7,0.96,0.04,0.14,1.32
6,0.69,0.31,713,1.893
4.7,0.87,0.13,288,1.468
3.9,0.86,0.14,0.19,1.37
4.3,0.84,0.16,354,1.534
3.9,0.66,0.34,444,1.624
3.1,0.96,0.04,139,1.319
4.9,0.95,0.05,0.14,1.32
5,0.81,0.19,338,1.518
5.5,0.83,0.17,377,1.557
5.7,0.85,0.15,506,1.686
5.5,0.85,0.15,389,1.569
3.1,0.72,0.28,369,1.549
3.3,0.74,0.26,369,1.549
4.9,0.99,0.01,0.14,1.32
3.6,0.7,0.3,505,1.685
5.1,0.73,0.27,615,1.795
4.5,0.66,0.34,492,1.672
4.8,0.73,0.27,546,1.726
4.4,0.9,0.1,231,1.411
4.9,0.91,0.09,134,1.314
3,0.72,0.28,338,1.518
4.3,0.88,0.12,246,1.426
4.7,0.79,0.21,0.49,1.67
4,0.78,0.22,338,1.518
5.5,0.91,0.09,121,1.301
5.6,0.69,0.31,0.74,1.92
5,0.89,0.11,225,1.405
5.9,0.71,0.29,621,1.801
4.5,0.98,0.02,96,1.276
5.8,0.93,0.07,214,1.394
3.4,0.72,0.28,345,1.525
5.4,0.99,0.01,166,1.346
3.7,0.74,0.26,436,1.616
3.1,0.8,0.2,349,1.529
4.6,0.68,0.32,0.61,1.79
3.4,0.9,0.1,174,1.354
4.3,0.74,0.26,489,1.669
5.4,0.69,0.31,657,1.837
4.4,0.84,0.16,341,1.521
3.2,0.98,0.02,118,1.298
5,0.67,0.33,573,1.753
3.8,0.86,0.14,0.2,1.38
5.9,0.73,0.27,641,1.821
5.4,0.65,0.35,713,1.893
5.4,0.91,0.09,159,1.339
4,0.72,0.28,383,1.563
6,0.99,0.01,0.16,1.34
6,0.89,0.11,301,1.481
4,0.88,0.12,174,1.354
3,0.92,0.08,98,1.278
5.7,0.87,0.13,359,1.539
3.8,0.68,0.32,466,1.646
4.1,0.66,0.34,522,1.702
3.3,0.8,0.2,328,1.508
4.8,0.65,0.35,622,1.802
5.2,0.89,0.11,331,1.511
4.3,1,0,0.14,1.32
4.3,0.96,0.04,0.14,1.32
4.6,0.95,0.05,207,1.387
5.1,0.87,0.13,338,1.518
5.1,0.83,0.17,454,1.634
3.8,0.98,0.02,119,1.299
5.9,0.93,0.07,192,1.372
3.2,0.84,0.16,266,1.446
5.3,0.67,0.33,656,1.836
4.8,0.93,0.07,157,1.337
5.5,0.93,0.07,0.13,1.31
3,0.98,0.02,37,1.217
4.3,0.76,0.24,402,1.582
3.9,0.92,0.08,95,1.275
4.5,0.78,0.22,395,1.575
5,0.91,0.09,0.1,1.28
5,0.93,0.07,109,1.289
4.7,0.95,0.05,185,1.365
3.6,0.8,0.2,406,1.586
3.1,0.94,0.06,124,1.304
3.3,0.9,0.1,188,1.368
4.4,0.96,0.04,118,1.298
5.3,0.85,0.15,438,1.618
5,0.85,0.15,0.36,1.54
3.5,0.7,0.3,418,1.598
3,1,0,37,1.217
4.3,0.86,0.14,235,1.415
5.8,0.91,0.09,206,1.386
3.6,0.68,0.32,476,1.656
4.8,0.81,0.19,378,1.558
6,0.65,0.35,769,1.949
3.3,0.78,0.22,312,1.492
5.9,0.79,0.21,0.56,1.74
3.4,0.84,0.16,245,1.425
4,0.7,0.3,479,1.659
5.6,0.95,0.05,277,1.457
4.6,0.72,0.28,556,1.736
4.2,0.8,0.2,455,1.635
5.9,0.81,0.19,437,1.617
4,0.74,0.26,406,1.586
3.3,0.7,0.3,0.43,1.61
3.1,0.86,0.14,193,1.373
4.9,0.71,0.29,517,1.697
5.4,0.75,0.25,593,1.773
5.8,0.89,0.11,355,1.535
4.6,0.84,0.16,415,1.595
4.1,0.96,0.04,184,1.364
5.6,0.93,0.07,254,1.434
5.9,0.65,0.35,761,1.941
3.5,0.98,0.02,56,1.236
5.9,0.85,0.15,467,1.647
4.9,0.87,0.13,253,1.433
3.4,0.92,0.08,74,1.254
5.8,0.77,0.23,565,1.745
3.5,0.88,0.12,151,1.331
3.7,0.86,0.14,0.21,1.39
5.4,0.77,0.23,499,1.679
3.4,0.76,0.24,299,1.479
4.1,0.92,0.08,162,1.342
3,0.74,0.26,317,1.497
5.5,0.75,0.25,579,1.759
4.9,0.73,0.27,536,1.716
3.4,0.78,0.22,306,1.486
3.7,0.72,0.28,419,1.599
4.2,0.98,0.02,162,1.342
3,0.82,0.18,0.25,1.43
5.9,0.83,0.17,454,1.634
5.2,0.73,0.27,603,1.783
3,0.96,0.04,37,1.217
3.5,0.9,0.1,0.16,1.34
3.1,0.68,0.32,414,1.594
4.5,0.74,0.26,467,1.647
4.2,0.88,0.12,0.26,1.44
4.6,0.76,0.24,475,1.655
3.8,0.72,0.28,412,1.592
3.6,0.82,0.18,307,1.487
4.1,0.98,0.02,184,1.364
3.9,0.8,0.2,372,1.552
4.5,0.96,0.04,96,1.276
4.5,0.7,0.3,545,1.725
4.7,0.69,0.31,615,1.795
4.9,0.97,0.03,0.14,1.32
5.5,0.87,0.13,0.25,1.43
5.2,0.69,0.31,679,1.859
5.6,0.91,0.09,246,1.426
5.2,0.79,0.21,536,1.716
5.5,0.67,0.33,629,1.809
5.2,0.95,0.05,223,1.403
5.4,0.85,0.15,414,1.594
4.7,0.91,0.09,165,1.345
5.4,0.79,0.21,517,1.697
4.6,0.93,0.07,188,1.368
4.6,0.78,0.22,494,1.674
3.5,0.96,0.04,56,1.236
5.8,0.95,0.05,218,1.398
3.7,0.8,0.2,395,1.575
5.3,0.97,0.03,195,1.375
3,0.8,0.2,0.28,1.46
3.7,0.94,0.06,131,1.311
3.2,0.8,0.2,338,1.518
3.2,0.66,0.34,393,1.573
5.7,0.93,0.07,0.23,1.41
3.6,1,0,162,1.342
4.4,0.98,0.02,118,1.298
5.4,0.95,0.05,166,1.346
5.1,0.95,0.05,252,1.432
3,0.68,0.32,372,1.552
5.2,0.99,0.01,223,1.403
4.2,0.9,0.1,282,1.462
3.6,0.92,0.08,0.14,1.32
3.7,0.7,0.3,499,1.679
4.2,0.72,0.28,0.48,1.66
5.6,0.65,0.35,736,1.916
4.5,0.84,0.16,322,1.502
5.6,0.87,0.13,378,1.558
4.5,0.68,0.32,519,1.699
5.7,0.95,0.05,248,1.428
5.8,0.75,0.25,682,1.862
4.1,0.72,0.28,489,1.669
4.8,0.91,0.09,0.15,1.33
3.8,0.82,0.18,287,1.467
3.5,0.86,0.14,142,1.322
3.4,0.68,0.32,402,1.582
4.8,0.85,0.15,395,1.575
5,0.87,0.13,216,1.396
4.4,0.66,0.34,507,1.687
4.2,0.92,0.08,145,1.325
4.1,0.68,0.32,541,1.721
3.8,0.96,0.04,119,1.299
3,0.78,0.22,0.29,1.47
5.3,0.93,0.07,185,1.365
3.8,0.7,0.3,492,1.672
4.6,0.97,0.03,207,1.387
5,0.99,0.01,117,1.297
5,0.83,0.17,349,1.529
5.2,0.93,0.07,201,1.381
5.2,0.71,0.29,595,1.775
6,0.83,0.17,424,1.604
4,0.9,0.1,183,1.363
3.3,0.76,0.24,303,1.483
4.8,0.69,0.31,0.61,1.79
3.1,0.66,0.34,397,1.577
3.9,0.82,0.18,274,1.454
5.2,0.91,0.09,192,1.372
3.7,0.66,0.34,453,1.633
4.4,1,0,118,1.298
3.4,0.98,0.02,77,1.257
4.3,0.9,0.1,257,1.437
5.7,0.73,0.27,661,1.841
5.3,0.83,0.17,423,1.603
5.3,0.95,0.05,195,1.375
4.6,0.91,0.09,181,1.361
4.5,0.88,0.12,197,1.377
3.4,0.96,0.04,77,1.257
5.1,0.69,0.31,0.69,1.87
5.8,0.67,0.33,711,1.891
4.3,0.8,0.2,442,1.622
6,0.87,0.13,0.29,1.47
4.7,0.65,0.35,608,1.788
4.4,0.76,0.24,394,1.574
3,0.9,0.1,138,1.318
3.1,0.74,0.26,385,1.565
3.3,0.92,0.08,91,1.271
3.9,0.76,0.24,337,1.517
5.5,0.65,0.35,728,1.908
5.1,0.65,0.35,666,1.846
5.5,0.79,0.21,499,1.679
5.4,0.67,0.33,647,1.827
5.2,0.67,0.33,0.66,1.84
4.2,0.74,0.26,499,1.679
5.6,0.79,0.21,606,1.786
4,0.66,0.34,0.43,1.61
5.1,0.93,0.07,222,1.402
3.9,0.94,0.06,0.1,1.28
6,0.95,0.05,0.16,1.34
3.9,0.68,0.32,462,1.642
3.7,1,0,0.14,1.32
5.7,0.81,0.19,472,1.652
3.8,1,0,119,1.299
5.6,0.99,0.01,277,1.457
5.4,0.73,0.27,585,1.765
4.9,0.83,0.17,373,1.553
3.4,0.86,0.14,164,1.344
3.5,0.78,0.22,296,1.476
5.7,0.77,0.23,573,1.753
5,0.97,0.03,117,1.297
5.5,0.97,0.03,138,1.318
3.7,0.9,0.1,241,1.421
3.2,0.74,0.26,377,1.557
3.5,0.72,0.28,328,1.508
3.4,0.74,0.26,361,1.541
3.6,0.74,0.26,445,1.625
3.5,0.76,0.24,285,1.465
3.7,0.68,0.32,0.47,1.65
3.9,0.88,0.12,197,1.377
3.7,0.84,0.16,311,1.491
5.7,0.79,0.21,591,1.771
4,1,0,76,1.256
4.8,0.67,0.33,592,1.772
3.3,0.72,0.28,355,1.535
5.6,0.73,0.27,674,1.854
3.4,1,0,77,1.257
5.1,0.79,0.21,546,1.726
4.2,0.7,0.3,565,1.745
4,0.92,0.08,64,1.244
3.7,0.92,0.08,123,1.303
5,0.75,0.25,545,1.725
5.8,0.83,0.17,471,1.651
4.6,0.89,0.11,316,1.496
5.6,0.75,0.25,713,1.893
4,0.84,0.16,0.27,1.45
4,0.96,0.04,76,1.256
3.6,0.96,0.04,162,1.342
4.3,0.66,0.34,512,1.692
3,0.66,0.34,383,1.563
5.7,0.91,0.09,226,1.406
3.1,0.82,0.18,0.27,1.45
4.9,0.69,0.31,605,1.785
5.3,0.73,0.27,595,1.775
5.1,0.89,0.11,347,1.527
4.1,0.88,0.12,278,1.458
3.8,0.78,0.22,361,1.541
3.2,0.7,0.3,436,1.616
4.3,0.78,0.22,419,1.599
4.7,0.75,0.25,587,1.767
5.3,0.65,0.35,697,1.877
3.4,0.88,0.12,0.17,1.35
4,0.68,0.32,455,1.635
5.1,0.91,0.09,208,1.388
3.9,0.9,0.1,202,1.382
3.9,0.7,0.3,486,1.666
5.2,0.75,0.25,622,1.802
4.1,0.94,0.06,168,1.348
3.2,0.76,0.24,306,1.486
3.1,0.98,0.02,139,1.319
4.4,0.92,0.08,116,1.296
5.8,0.71,0.29,631,1.811
4.9,0.85,0.15,378,1.558
5.9,0.99,0.01,189,1.369
3.9,0.84,0.16,288,1.468
6,0.79,0.21,538,1.718
4.4,0.74,0.26,0.48,1.66
3.2,0.78,0.22,318,1.498
4.4,0.8,0.2,0.43,1.61
5,0.79,0.21,442,1.622
3.4,0.94,0.06,0.08,1.26
5.3,0.81,0.19,411,1.591
5.2,0.77,0.23,524,1.704
5.8,0.73,0.27,652,1.832
5.5,0.77,0.23,474,1.654
4.7,0.99,0.01,185,1.365
5.5,0.69,0.31,644,1.824
4.2,0.68,0.32,534,1.714
5.5,0.81,0.19,366,1.546
3.6,0.86,0.14,0.22,1.4
4.2,0.66,0.34,517,1.697
3.2,0.88,0.12,189,1.369
5.9,0.75,0.25,666,1.846
3.4,0.7,0.3,424,1.604
5,0.77,0.23,0.43,1.61
5.8,0.69,0.31,729,1.909
5.7,0.99,0.01,248,1.428
3.7,0.82,0.18,295,1.475
3,0.94,0.06,57,1.237
5.6,0.77,0.23,585,1.765
3,0.7,0.3,0.36,1.54
3.4,0.82,0.18,238,1.418
5.5,0.99,0.01,138,1.318
5.9,0.91,0.09,185,1.365
3.5,0.8,0.2,306,1.486
5.3,0.75,0.25,608,1.788
4.8,0.97,0.03,162,1.342
5.5,0.71,0.29,552,1.732
5.1,0.97,0.03,252,1.432
4.8,0.83,0.17,386,1.566
3.2,0.86,0.14,183,1.363
3.9,0.72,0.28,402,1.582
4.1,0.84,0.16,378,1.558
3.3,0.66,0.34,389,1.569
5.7,0.89,0.11,375,1.555
5.7,0.83,0.17,481,1.661
5.3,0.79,0.21,527,1.707
5.8,0.81,0.19,455,1.635
4.6,0.8,0.2,526,1.706
5.4,0.71,0.29,575,1.755
5.7,0.69,0.31,735,1.915
4.2,0.82,0.18,349,1.529
5.5,0.89,0.11,0.27,1.45
3.1,1,0,139,1.319
5.1,0.71,0.29,605,1.785
5.4,0.97,0.03,166,1.346
4,0.82,0.18,0.25,1.43
5.8,0.99,0.01,218,1.398
3.5,0.94,0.06,52,1.232
3.2,0.68,0.32,409,1.589
5.5,0.95,0.05,138,1.318
4.1,0.8,0.2,467,1.647
4.4,0.94,0.06,121,1.301
3.6,0.78,0.22,377,1.557
4.9,0.89,0.11,0.26,1.44
5.3,0.77,0.23,513,1.693
5.6,0.83,0.17,499,1.679
5.8,0.79,0.21,575,1.755
3.2,0.72,0.28,361,1.541
5.3,0.69,0.31,668,1.848
4.9,0.67,0.33,585,1.765
3.5,0.68,0.32,395,1.575
3.2,0.96,0.04,118,1.298
3.5,0.74,0.26,349,1.529
4.7,0.71,0.29,536,1.716
5.6,0.97,0.03,277,1.457
4.1,0.7,0.3,572,1.752
4.3,0.92,0.08,133,1.313
4.5,0.94,0.06,92,1.272
4.7,0.81,0.19,0.39,1.57
4.8,0.95,0.05,162,1.342
3.8,0.76,0.24,345,1.525
3.1,0.92,0.08,118,1.298
4.1,0.9,0.1,308,1.488
3.6,0.9,0.1,261,1.441
5.9,0.97,0.03,189,1.369
4,0.98,0.02,76,1.256
4.4,0.82,0.18,326,1.506
6,0.71,0.29,593,1.773
4.2,1,0,162,1.342
5.4,0.83,0.17,407,1.587
4.5,0.86,0.14,188,1.368
3.8,0.92,0.08,112,1.292
4.1,1,0,184,1.364
6,0.75,0.25,651,1.831
3.3,0.84,0.16,255,1.435
4.7,0.83,0.17,396,1.576
6,0.73,0.27,622,1.802
4.4,0.78,0.22,0.41,1.59
4.5,0.8,0.2,418,1.598
5.1,0.75,0.25,637,1.817
5.8,0.85,0.15,487,1.667
3.3,0.94,0.06,95,1.275
3,0.76,0.24,301,1.481
3.3,0.86,0.14,174,1.354
4.4,0.88,0.12,228,1.408
3.8,0.84,0.16,299,1.479
3.5,0.84,0.16,225,1.405
5.3,0.99,0.01,195,1.375
4.7,0.93,0.07,0.17,1.35
4.9,0.65,0.35,637,1.817
6,0.85,0.15,448,1.628
5.2,0.97,0.03,223,1.403
5.2,0.87,0.13,0.32,1.5
5.9,0.87,0.13,327,1.507
4,0.94,0.06,72,1.252
4.1,0.82,0.18,361,1.541
5.1,0.81,0.19,436,1.616
5.4,0.89,0.11,0.3,1.48
3.2,0.82,0.18,258,1.438
4.5,1,0,96,1.276
4.7,0.85,0.15,413,1.593
5.5,0.73,0.27,565,1.745
4.7,0.73,0.27,554,1.734
5.7,0.67,0.33,0.72,1.9
6,0.81,0.19,401,1.581
3.9,1,0,97,1.277
3.9,0.96,0.04,97,1.277
6,0.67,0.33,682,1.862
4.6,0.87,0.13,308,1.488
5.7,0.65,0.35,744,1.924
5.2,0.81,0.19,424,1.604
4.3,0.94,0.06,137,1.317
5.9,0.89,0.11,334,1.514
4.1,0.78,0.22,436,1.616
5.3,0.89,0.11,315,1.495
3.5,0.66,0.34,372,1.552
5.2,0.83,0.17,437,1.617
3.7,0.78,0.22,367,1.547
5.9,0.77,0.23,551,1.731
3.7,0.88,0.12,221,1.401
5.2,0.85,0.15,463,1.643
4.7,0.89,0.11,297,1.477
5.1,0.85,0.15,487,1.667
4.8,0.75,0.25,573,1.753
3.6,0.84,0.16,322,1.502
3,0.86,0.14,192,1.372
5.8,0.65,0.35,753,1.933
3.5,0.82,0.18,216,1.396
4.1,0.86,0.14,263,1.443
4.5,0.76,0.24,372,1.552
4.5,0.9,0.1,206,1.386
3.3,0.82,0.18,0.25,1.43
4.8,0.77,0.23,466,1.646
3.2,0.94,0.06,0.11,1.29
3.8,0.74,0.26,427,1.607
5.3,0.71,0.29,585,1.765
5.6,0.89,0.11,395,1.575
5.4,0.81,0.19,398,1.578
5,0.71,0.29,492,1.672
4.8,0.71,0.29,527,1.707
5.9,0.95,0.05,189,1.369
3.3,1,0,98,1.278
3.1,0.9,0.1,216,1.396
6,0.93,0.07,151,1.331
3.4,0.8,0.2,317,1.497
3.6,0.72,0.28,427,1.607
4.6,0.66,0.34,0.59,1.77
4.8,0.89,0.11,278,1.458
3.8,0.94,0.06,116,1.296
5,0.65,0.35,651,1.831
5.9,0.67,0.33,701,1.881
4.3,0.68,0.32,531,1.711
4.5,0.72,0.28,442,1.622
4.9,0.93,0.07,0.14,1.32
3.1,0.7,0.3,442,1.622
5.6,0.85,0.15,526,1.706
3.3,0.88,0.12,181,1.361
3.2,1,0,118,1.298
3,0.84,0.16,221,1.401
4.3,0.7,0.3,559,1.739
3.6,0.76,0.24,361,1.541
3.9,0.78,0.22,353,1.533
5.2,0.65,0.35,682,1.862
3,0.88,0.12,165,1.345
4,0.86,0.14,165,1.345
4.5,0.92,0.08,84,1.264
5.8,0.87,0.13,347,1.527
3.1,0.78,0.22,325,1.505
4.2,0.86,0.14,249,1.429
6,0.77,0.23,525,1.705
5.1,0.99,0.01,252,1.432
4.6,0.74,0.26,576,1.756
6,0.91,0.09,142,1.322
3.6,0.88,0.12,235,1.415
4.3,0.72,0.28,473,1.653
4,0.8,0.2,0.36,1.54
5,0.95,0.05,117,1.297
3.6,0.98,0.02,162,1.342
4.3,0.98,0.02,0.14,1.32
4,0.76,0.24,317,1.497
5.6,0.71,0.29,652,1.832
5.1,0.77,0.23,536,1.716
4.2,0.76,0.24,0.41,1.59
3.8,0.8,0.2,383,1.563
4.1,0.74,0.26,508,1.688
5.7,0.75,0.25,697,1.877
6,0.97,0.03,0.16,1.34
4.6,0.82,0.18,406,1.586
4.8,0.99,0.01,162,1.342
4.4,0.68,0.32,526,1.706
3.8,0.88,0.12,0.21,1.39
5.4,0.87,0.13,286,1.466
3.5,1,0,56,1.236
4.2,0.78,0.22,425,1.605
4.9,0.81,0.19,365,1.545
3.1,0.84,0.16,277,1.457
4.7,0.77,0.23,473,1.653
4.5,0.82,0.18,301,1.481
5.8,0.97,0.03,218,1.398
3.3,0.68,0.32,405,1.585
5.4,0.93,0.07,165,1.345
5.9,0.69,0.31,723,1.903
3.8,0.66,0.34,449,1.629
3.2,0.9,0.1,202,1.382
4.4,0.7,0.3,552,1.732
5.1,0.67,0.33,668,1.848
4.4,0.86,0.14,222,1.402
5,0.73,0.27,519,1.699
4.6,0.99,0.01,207,1.387
4.2,0.84,0.16,366,1.546
4.7,0.67,0.33,595,1.775
3.7,0.98,0.02,0.14,1.32
4.8,0.87,0.13,274,1.454
5.3,0.87,0.13,305,1.485
4.9,0.77,0.23,453,1.633
3.5,0.92,0.08,45,1.225
5.7,0.71,0.29,641,1.821
3.1,0.88,0.12,0.2,1.38
3.1,0.76,0.24,0.31,1.49
3.6,0.94,0.06,146,1.326
5.6,0.81,0.19,0.49,1.67
